,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_teq
1718,11618601,K03022.01,Kepler-1894 b,CONFIRMED,2.76263737,1.821,185.0,1.25,5772.0,0.901,1231.0
1719,7582689,K03097.01,Kepler-431 d,CONFIRMED,11.9216035,5.009,43.2,0.87,6006.0,1.082,851.0
1720,7582689,K03097.02,Kepler-431 b,CONFIRMED,6.80257947,4.608,32.7,0.73,6006.0,1.082,1026.0
1721,7582689,K03097.03,Kepler-431 c,CONFIRMED,8.70312154,4.807,32.0,0.72,6006.0,1.082,945.0
1722,6196457,K00285.02,Kepler-92 c,CONFIRMED,26.723169,8.501,195.0,2.31,5862.0,1.67,781.0
1723,7050989,K00312.02,Kepler-136 c,CONFIRMED,16.39926461,3.4108,220.8,1.94,6156.0,1.303,847.0
1724,7419318,K00313.01,Kepler-137 c,CONFIRMED,18.73577127,3.0356,567.2,2.1,5188.0,0.795,568.0
1725,7419318,K00313.02,Kepler-137 b,CONFIRMED,8.43639829,3.2451,345.5,1.5,5188.0,0.795,742.0
1726,7603200,K00314.01,Kepler-138 c,CONFIRMED,13.78109471,2.3188,756.0,1.42,3846.0,0.503,402.0
1727,7603200,K00314.02,Kepler-138 d,CONFIRMED,23.08902241,1.7012,598.3,1.24,3846.0,0.503,338.0
1728,10905239,K00046.02,Kepler-101 c,CONFIRMED,6.02977241,3.961,54.6,1.18,5576.0,1.593,1204.0
1729,7364176,K00373.01,Kepler-1718 b,CONFIRMED,135.1879934,8.8191,663.4,2.32,5731.0,0.906,345.0
1730,8686097,K00374.01,Kepler-540 b,CONFIRMED,172.7046083,11.347,659.1,2.85,5851.0,1.116,355.0
1731,12356617,K00375.01,Kepler-1704 b,CONFIRMED,988.8811177,5.9504,5060.0,10.81,5755.0,1.549,223.0
1732,3323887,K00377.01,Kepler-9 b,CONFIRMED,19.270825843,4.1281,6660.5,7.74,5779.0,0.956,661.0
1733,11618601,K03022.02,Kepler-1894 c,CONFIRMED,5.05368985,2.514,171.5,1.21,5772.0,0.901,1007.0
1734,9716391,K03025.01,Kepler-1413 b,CONFIRMED,13.1829329,3.594,518.0,1.84,5382.0,0.827,661.0
1735,6929841,K03026.01,Kepler-1414 b,CONFIRMED,3.51575492,1.381,237.4,1.35,5094.0,0.901,1033.0
1736,5088536,K00282.03,Kepler-130 d,CONFIRMED,87.5177787,2.55,136.5,1.85,5903.0,1.137,451.0
1737,11508644,K03101.01,Kepler-1426 b,CONFIRMED,14.2563272,4.796,206.1,1.73,6140.0,1.027,797.0
1738,8895758,K03106.01,Kepler-1427 b,CONFIRMED,0.968980781,1.517,118.5,1.08,5866.0,1.0,1844.0
1739,7603200,K00314.03,Kepler-138 b,CONFIRMED,10.31282204,2.0138,137.6,0.59,3846.0,0.503,443.0
1740,7700622,K00315.01,Kepler-1716 b,CONFIRMED,35.58349688,3.9885,937.6,2.03,4894.0,0.684,408.0
1741,8008067,K00316.01,Kepler-139 b,CONFIRMED,15.77111067,5.0574,547.1,2.62,5620.0,1.143,752.0
1742,8008067,K00316.02,Kepler-139 c,CONFIRMED,157.0659976,8.1289,551.4,2.63,5620.0,1.143,350.0
1743,8008067,K00316.03,Kepler-139 d,CONFIRMED,7.305706326,1.4228,264.9,2.11,5620.0,1.143,972.0
1744,3323887,K00377.02,Kepler-9 c,CONFIRMED,38.90787517,4.5271,6159.1,7.98,5779.0,0.956,523.0
1745,3323887,K00377.03,Kepler-9 d,CONFIRMED,1.59295975,1.9313,248.3,1.48,5779.0,0.956,1517.0
1746,11137180,K03027.01,Kepler-1895 b,CONFIRMED,6.07032548,1.341,311.6,1.36,5076.0,0.763,789.0
1747,3756264,K03108.01,Kepler-1906 b,CONFIRMED,7.36272124,1.3287,429.3,1.86,5868.0,0.894,901.0
1748,11572193,K03109.01,Kepler-1428 b,CONFIRMED,10.6761592,4.594,151.0,1.79,6460.0,1.434,1049.0
1749,11285870,K03110.01,Kepler-1429 b,CONFIRMED,4.48494315,2.752,134.9,1.23,6217.0,1.051,1199.0
1750,6196457,K00285.03,Kepler-92 d,CONFIRMED,49.3567907,10.954,130.2,1.91,5862.0,1.67,637.0
1751,8121310,K00317.01,Kepler-521 b,CONFIRMED,22.20809549,7.3327,463.2,3.02,6336.0,1.403,803.0
1752,8156120,K00318.01,Kepler-522 b,CONFIRMED,38.5833679,12.391,1388.2,8.56,6273.0,1.927,761.0
1753,8753657,K00321.01,Kepler-406 b,CONFIRMED,2.426304127,2.6624,185.4,1.41,5678.0,0.97,1302.0
1754,3942670,K00392.01,Kepler-147 c,CONFIRMED,33.4160553,8.605,275.8,2.98,6007.0,1.42,689.0
1755,3942670,K00392.02,Kepler-147 b,CONFIRMED,12.6119685,6.372,76.5,1.33,6007.0,1.42,953.0
1756,10585738,K03032.01,Kepler-1415 b,CONFIRMED,0.636424848,0.947,217.9,1.31,5343.0,0.885,1846.0
1757,7676423,K03113.01,Kepler-1430 b,CONFIRMED,2.46050095,1.861,276.8,1.03,4811.0,0.634,969.0
1758,11714231,K03115.01,Kepler-1431 b,CONFIRMED,5.8660127,3.985,183.0,1.45,6020.0,1.04,1064.0
1759,11720424,K03116.01,Kepler-1432 b,CONFIRMED,23.9107056,4.996,294.0,1.91,6338.0,1.091,709.0
1760,8753657,K00321.02,Kepler-406 c,CONFIRMED,4.62334491,3.0189,62.0,0.77,5678.0,0.97,1050.0
1761,9139084,K00323.01,Kepler-523 b,CONFIRMED,5.83599485,2.062,553.3,1.92,5423.0,0.828,884.0
1762,3353050,K00384.01,Kepler-541 b,CONFIRMED,5.0800579,5.207,222.8,3.95,6049.0,2.52,1673.0
1763,3446746,K00385.01,Kepler-542 b,CONFIRMED,13.14496741,3.6399,300.8,1.59,5411.0,0.888,698.0
1764,5695396,K00283.01,Kepler-131 b,CONFIRMED,16.09196369,2.8943,415.8,2.13,5680.0,1.016,718.0
1765,8051946,K03038.01,Kepler-1416 b,CONFIRMED,1.4951513,3.43,52.0,1.44,5635.0,1.452,1870.0
1766,5445681,K03039.01,Kepler-1417 b,CONFIRMED,20.3504704,7.225,101.8,1.01,5952.0,1.002,695.0
1767,11499192,K03120.01,Kepler-1433 b,CONFIRMED,4.13592927,2.377,156.2,1.43,5886.0,1.152,1226.0
1768,12416661,K03122.01,Kepler-1434 b,CONFIRMED,8.05337912,5.382,38.3,1.28,6231.0,2.062,1320.0
1769,9881662,K00327.01,Kepler-140 b,CONFIRMED,3.254277742,2.9903,159.9,1.38,5945.0,1.089,1301.0
1770,9881662,K00327.02,Kepler-140 c,CONFIRMED,91.3514816,8.707,210.0,1.57,5945.0,1.089,428.0
1771,3656121,K00386.01,Kepler-146 b,CONFIRMED,31.1588249,5.1803,959.0,3.56,5951.0,1.155,639.0
1772,3656121,K00386.02,Kepler-146 c,CONFIRMED,76.7324556,6.243,685.7,3.08,5951.0,1.155,473.0
1773,3733628,K00387.01,Kepler-543 b,CONFIRMED,13.89963233,3.5791,1121.7,2.46,4538.0,0.663,521.0
